prioridad,veces_operar,veces_vigilar,symbol,nombre,plaza,tipo,isin,estado_isin,fuente_isin,verificado_el,trade_republic,tr_comprobado_el
1-HA_SIDO_OPERAR,14,18,EXH1.DE,iShares STOXX Europe 600 Oil & Gas,XETRA,equity_etf,DE000A0H08M3,VERIFICADO_TR,"app de Trade Republic, ficha del instrumento, comprobado por el propietario",2026-09-17,yes,2026-09-17
1-HA_SIDO_OPERAR,14,12,CRWD,CrowdStrike,NASDAQ,stock,US22788C1053,VERIFICADO_TR,"app de Trade Republic, ficha del instrumento, comprobado por el propietario",2026-09-17,yes,2026-09-17
1-HA_SIDO_OPERAR,8,16,DBK.DE,Deutsche Bank,XETRA,stock,DE0005140008,VERIFICADO_TR,"app de Trade Republic, ficha del instrumento, comprobado por el propietario",2026-09-17,yes,2026-09-17
1-HA_SIDO_OPERAR,5,15,NOW,ServiceNow,NYSE,stock,US81762P1021,VERIFICADO_TR,"app de Trade Republic, ficha del instrumento, comprobado por el propietario",2026-09-17,yes,2026-09-17
1-HA_SIDO_OPERAR,5,13,EUNN.DE,iShares Core MSCI Japan IMI,XETRA,equity_etf,IE00B4L5YX21,VERIFICADO_TR,"app de Trade Republic, ficha del instrumento, comprobado por el propietario",2026-09-17,yes,2026-09-17
1-HA_SIDO_OPERAR,4,25,IS3N.DE,iShares Core MSCI EM IMI,XETRA,equity_etf,IE00BKM4GZ66,VERIFICADO_TR,"app de Trade Republic, ficha del instrumento, comprobado por el propietario",2026-09-17,yes,2026-09-17
1-HA_SIDO_OPERAR,4,9,MRVL,Marvell,NASDAQ,stock,US5738741041,VERIFICADO_TR,"app de Trade Republic, ficha del instrumento, comprobado por el propietario",2026-09-17,yes,2026-09-17
1-HA_SIDO_OPERAR,3,29,IQQT.DE,iShares MSCI Taiwan,XETRA,equity_etf,IE00B0M63623,VERIFICADO_TR,"app de Trade Republic, ficha del instrumento, comprobado por el propietario",2026-09-17,yes,2026-09-17
1-HA_SIDO_OPERAR,3,21,ALV.DE,Allianz,XETRA,stock,DE0008404005,VERIFICADO_TR,"app de Trade Republic, ficha del instrumento, comprobado por el propietario",2026-09-17,yes,2026-09-17
1-HA_SIDO_OPERAR,3,15,VRTX,Vertex,NASDAQ,stock,US92538J1060,VERIFICADO_TR,"app de Trade Republic, ficha del instrumento, comprobado por el propietario",2026-09-17,yes,2026-09-17
1-HA_SIDO_OPERAR,3,10,AMD,AMD,NASDAQ,stock,US0079031078,VERIFICADO_TR,"app de Trade Republic, ficha del instrumento, comprobado por el propietario",2026-09-17,yes,2026-09-17
1-HA_SIDO_OPERAR,3,5,COIN,Coinbase,NASDAQ,stock,US19260Q1076,VERIFICADO_TR,"app de Trade Republic, ficha del instrumento, comprobado por el propietario",2026-09-17,yes,2026-09-17
1-HA_SIDO_OPERAR,2,21,CVX,Chevron,NYSE,stock,US1667641005,VERIFICADO_TR,"app de Trade Republic, ficha del instrumento, comprobado por el propietario",2026-09-17,yes,2026-09-17
1-HA_SIDO_OPERAR,2,14,6758.T,Sony,JPX,stock,JP3435000009,VERIFICADO_TR,"app de Trade Republic, ficha del instrumento, comprobado por el propietario",2026-09-17,yes,2026-09-17
