symbol,radar,accion,score,discard_code,execution_code,quality,freshness,recent,historical,exec_ready,warnings
AMD,OPERAR,COMPRAR,70.4,,BROKER_UNVERIFIED,OK,FreshnessState.FRESH,Severity.OK,Severity.OK,si,"precio extendido 1.0·ATR sobre su media rápida: no persigas, prioriza la zona de entrada ideal o un pullback"
TTE.PA,VIGILAR,ESPERAR,68.5,LOW_SCORE,MISSING_RECENT_DATA,INCOMPLETO,FreshnessState.STALE_1,Severity.MEDIUM,Severity.OK,no,
ENI.MI,VIGILAR,ESPERAR,68.5,LOW_SCORE,MISSING_RECENT_DATA,INCOMPLETO,FreshnessState.STALE_1,Severity.MEDIUM,Severity.OK,no,
R6C0.DE,VIGILAR,ESPERAR,67.2,LOW_SCORE,MISSING_RECENT_DATA,INCOMPLETO,FreshnessState.STALE_1,Severity.MEDIUM,Severity.OK,no,
EUNN.DE,VIGILAR,ESPERAR,64.8,LOW_SCORE,STALE_DATA,DEGRADADO,FreshnessState.STALE_1,Severity.OK,Severity.WARNING,no,
EXH1.DE,VIGILAR,ESPERAR,64.8,LOW_SCORE,STALE_DATA,DEGRADADO,FreshnessState.STALE_1,Severity.OK,Severity.OK,no,
INTC,VIGILAR,ESPERAR,64.1,LOW_SCORE,BROKER_UNVERIFIED,OK,FreshnessState.FRESH,Severity.OK,Severity.OK,si,
9984.T,VIGILAR,ESPERAR,62.2,LOW_SCORE,BROKER_UNVERIFIED,OK,FreshnessState.FRESH,Severity.OK,Severity.OK,si,
ABBV,VIGILAR,ESPERAR,62.2,LOW_SCORE,BROKER_UNVERIFIED,OK,FreshnessState.FRESH,Severity.OK,Severity.OK,si,
EQQQ.DE,VIGILAR,ESPERAR,62.2,LOW_SCORE,STALE_DATA,DEGRADADO,FreshnessState.STALE_1,Severity.OK,Severity.WARNING,no,
CRWD,VIGILAR,ESPERAR,62.2,LOW_SCORE,BROKER_UNVERIFIED,OK,FreshnessState.FRESH,Severity.OK,Severity.OK,si,
META,VIGILAR,ESPERAR,61.6,LOW_SCORE,BROKER_UNVERIFIED,OK,FreshnessState.FRESH,Severity.OK,Severity.OK,si,
MRVL,VIGILAR,ESPERAR,61.6,LOW_SCORE,BROKER_UNVERIFIED,OK,FreshnessState.FRESH,Severity.OK,Severity.OK,si,
CAT,VIGILAR,ESPERAR,61.0,LOW_SCORE,BROKER_UNVERIFIED,OK,FreshnessState.FRESH,Severity.OK,Severity.OK,si,
AAPL,VIGILAR,ESPERAR,61.0,LOW_SCORE,BROKER_UNVERIFIED,OK,FreshnessState.FRESH,Severity.OK,Severity.OK,si,
IFX.DE,VIGILAR,ESPERAR,60.4,LOW_SCORE,MISSING_RECENT_DATA,INCOMPLETO,FreshnessState.STALE_1,Severity.MEDIUM,Severity.OK,no,
EXSA.DE,DESCARTAR,DESCARTAR,59.8,LOW_SCORE,STALE_DATA,DEGRADADO,FreshnessState.STALE_1,Severity.OK,Severity.OK,no,
DBK.DE,DESCARTAR,DESCARTAR,59.8,LOW_SCORE,MISSING_RECENT_DATA,INCOMPLETO,FreshnessState.STALE_1,Severity.MEDIUM,Severity.OK,no,
BRK-B,DESCARTAR,DESCARTAR,59.8,LOW_SCORE,BROKER_UNVERIFIED,OK,FreshnessState.FRESH,Severity.OK,Severity.OK,si,
MUV2.DE,DESCARTAR,DESCARTAR,59.8,LOW_SCORE,MISSING_RECENT_DATA,INCOMPLETO,FreshnessState.STALE_1,Severity.MEDIUM,Severity.OK,no,
AMAT,DESCARTAR,DESCARTAR,59.1,LOW_SCORE,BROKER_UNVERIFIED,OK,FreshnessState.FRESH,Severity.OK,Severity.OK,si,
PANW,DESCARTAR,DESCARTAR,59.1,LOW_SCORE,BROKER_UNVERIFIED,OK,FreshnessState.FRESH,Severity.OK,Severity.OK,si,
TSM,DESCARTAR,DESCARTAR,57.2,LOW_SCORE,BROKER_UNVERIFIED,OK,FreshnessState.FRESH,Severity.OK,Severity.OK,si,
MBG.DE,DESCARTAR,DESCARTAR,56.8,LOW_SCORE,MISSING_RECENT_DATA,INCOMPLETO,FreshnessState.STALE_1,Severity.MEDIUM,Severity.OK,no,
Q8Y0.DE,DESCARTAR,DESCARTAR,56.0,LOW_SCORE,STALE_DATA,DEGRADADO,FreshnessState.STALE_1,Severity.OK,Severity.WARNING,no,
EUNL.DE,DESCARTAR,DESCARTAR,56.0,LOW_SCORE,STALE_DATA,DEGRADADO,FreshnessState.STALE_1,Severity.OK,Severity.WARNING,no,
IQQT.DE,DESCARTAR,DESCARTAR,56.0,LOW_SCORE,STALE_DATA,DEGRADADO,FreshnessState.STALE_1,Severity.OK,Severity.WARNING,no,
CVX,DESCARTAR,DESCARTAR,56.0,LOW_SCORE,BROKER_UNVERIFIED,OK,FreshnessState.FRESH,Severity.OK,Severity.OK,si,
BBVA.MC,DESCARTAR,DESCARTAR,56.0,LOW_SCORE,MISSING_RECENT_DATA,INCOMPLETO,FreshnessState.STALE_1,Severity.MEDIUM,Severity.OK,no,
UCG.MI,DESCARTAR,DESCARTAR,56.0,LOW_SCORE,MISSING_RECENT_DATA,INCOMPLETO,FreshnessState.STALE_1,Severity.MEDIUM,Severity.OK,no,
SAP.DE,DESCARTAR,DESCARTAR,55.4,LOW_SCORE,MISSING_RECENT_DATA,INCOMPLETO,FreshnessState.STALE_1,Severity.MEDIUM,Severity.OK,no,
QCOM,DESCARTAR,DESCARTAR,55.4,LOW_SCORE,BROKER_UNVERIFIED,OK,FreshnessState.FRESH,Severity.OK,Severity.OK,si,
NOW,DESCARTAR,DESCARTAR,55.4,LOW_SCORE,BROKER_UNVERIFIED,OK,FreshnessState.FRESH,Severity.OK,Severity.OK,si,
GS,DESCARTAR,DESCARTAR,54.8,LOW_SCORE,BROKER_UNVERIFIED,OK,FreshnessState.FRESH,Severity.OK,Severity.OK,si,
EUNH.DE,DESCARTAR,DESCARTAR,54.8,LOW_SCORE,STALE_DATA,DEGRADADO,FreshnessState.STALE_1,Severity.OK,Severity.OK,no,
V,DESCARTAR,DESCARTAR,54.8,LOW_SCORE,BROKER_UNVERIFIED,OK,FreshnessState.FRESH,Severity.OK,Severity.OK,si,
XOM,DESCARTAR,DESCARTAR,54.8,LOW_SCORE,BROKER_UNVERIFIED,OK,FreshnessState.FRESH,Severity.OK,Severity.OK,si,
ARM,DESCARTAR,DESCARTAR,54.1,LOW_SCORE,BROKER_UNVERIFIED,OK,FreshnessState.FRESH,Severity.OK,Severity.OK,si,
