Medición: 2026-09-18 16:03:06 UTC

| Última barra | Símbolos | Plazas |
|---|---|---|
| vie 18 (al día) | 98 | XETRA (32), NASDAQ (27), NYSE (19), PAR (7), MCE (4), CRYPTO (3), MIL (3), AMS (2), CPH |
| jue 17 (al día) | 16 | JPX (7), HKG (5), KSC (3), TAI |
| mié 16 (−1 sesión) | 1 | SHH |

Dispersión por plaza:
| Plaza | Escalón mayoritario | No coinciden |
|---|---|---|
| AMS | vie 18 | 0 / 2 |
| CPH | vie 18 | 0 / 1 |
| CRYPTO | vie 18 | 0 / 3 |
| HKG | jue 17 | 0 / 5 |
| JPX | jue 17 | 0 / 7 |
| KSC | jue 17 | 0 / 3 |
| MCE | vie 18 | 0 / 4 |
| MIL | vie 18 | 0 / 3 |
| NASDAQ | vie 18 | 0 / 27 |
| NYSE | vie 18 | 0 / 19 |
| PAR | vie 18 | 0 / 7 |
| SHH | mié 16 | 0 / 1 |
| TAI | jue 17 | 0 / 1 |
| XETRA | vie 18 | 0 / 32 |

Detalle por símbolo:
| Símbolo | Símbolo datos | Plaza | Última barra | Antigüedad | Calendario | Sesiones ausentes |
|---|---|---|---|---|---|---|
| AAPL | AAPL | NASDAQ | 2026-09-18 | hoy; al día; barra de hoy posiblemente parcial | XNAS | sin sesiones ausentes recientes |
| MSFT | MSFT | NASDAQ | 2026-09-18 | hoy; al día; barra de hoy posiblemente parcial | XNAS | sin sesiones ausentes recientes |
| GOOGL | GOOGL | NASDAQ | 2026-09-18 | hoy; al día; barra de hoy posiblemente parcial | XNAS | sin sesiones ausentes recientes |
| AMZN | AMZN | NASDAQ | 2026-09-18 | hoy; al día; barra de hoy posiblemente parcial | XNAS | sin sesiones ausentes recientes |
| META | META | NASDAQ | 2026-09-18 | hoy; al día; barra de hoy posiblemente parcial | XNAS | sin sesiones ausentes recientes |
| TSLA | TSLA | NASDAQ | 2026-09-18 | hoy; al día; barra de hoy posiblemente parcial | XNAS | sin sesiones ausentes recientes |
| ORCL | ORCL | NYSE | 2026-09-18 | hoy; al día; barra de hoy posiblemente parcial | XNYS | sin sesiones ausentes recientes |
| CRM | CRM | NYSE | 2026-09-18 | hoy; al día; barra de hoy posiblemente parcial | XNYS | sin sesiones ausentes recientes |
| NOW | NOW | NYSE | 2026-09-18 | hoy; al día; barra de hoy posiblemente parcial | XNYS | sin sesiones ausentes recientes |
| ADBE | ADBE | NASDAQ | 2026-09-18 | hoy; al día; barra de hoy posiblemente parcial | XNAS | sin sesiones ausentes recientes |
| NFLX | NFLX | NASDAQ | 2026-09-18 | hoy; al día; barra de hoy posiblemente parcial | XNAS | sin sesiones ausentes recientes |
| NVDA | NVDA | NASDAQ | 2026-09-18 | hoy; al día; barra de hoy posiblemente parcial | XNAS | sin sesiones ausentes recientes |
| AVGO | AVGO | NASDAQ | 2026-09-18 | hoy; al día; barra de hoy posiblemente parcial | XNAS | sin sesiones ausentes recientes |
| AMD | AMD | NASDAQ | 2026-09-18 | hoy; al día; barra de hoy posiblemente parcial | XNAS | sin sesiones ausentes recientes |
| MU | MU | NASDAQ | 2026-09-18 | hoy; al día; barra de hoy posiblemente parcial | XNAS | sin sesiones ausentes recientes |
| QCOM | QCOM | NASDAQ | 2026-09-18 | hoy; al día; barra de hoy posiblemente parcial | XNAS | sin sesiones ausentes recientes |
| MRVL | MRVL | NASDAQ | 2026-09-18 | hoy; al día; barra de hoy posiblemente parcial | XNAS | sin sesiones ausentes recientes |
| INTC | INTC | NASDAQ | 2026-09-18 | hoy; al día; barra de hoy posiblemente parcial | XNAS | sin sesiones ausentes recientes |
| AMAT | AMAT | NASDAQ | 2026-09-18 | hoy; al día; barra de hoy posiblemente parcial | XNAS | sin sesiones ausentes recientes |
| LRCX | LRCX | NASDAQ | 2026-09-18 | hoy; al día; barra de hoy posiblemente parcial | XNAS | sin sesiones ausentes recientes |
| ARM | ARM | NASDAQ | 2026-09-18 | hoy; al día; barra de hoy posiblemente parcial | XNAS | sin sesiones ausentes recientes |
| PLTR | PLTR | NASDAQ | 2026-09-18 | hoy; al día; barra de hoy posiblemente parcial | XNAS | sin sesiones ausentes recientes |
| PANW | PANW | NASDAQ | 2026-09-18 | hoy; al día; barra de hoy posiblemente parcial | XNAS | sin sesiones ausentes recientes |
