symbol,radar,accion,score,discard_code,execution_code
000660.KS,VIGILAR,ESPERAR,67.875000,LOW_SCORE,BROKER_UNAVAILABLE
005930.KS,DESCARTAR,DESCARTAR,52.875000,LOW_SCORE,EXECUTABLE
0700.HK,DESCARTAR,DESCARTAR,49.750000,LOW_SCORE,EXECUTABLE
1211.HK,DESCARTAR,DESCARTAR,37.250000,LOW_SCORE,BROKER_UNVERIFIED
1810.HK,DESCARTAR,DESCARTAR,36.625000,LOW_SCORE,EXECUTABLE
4GLD.DE,DESCARTAR,DESCARTAR,48.500000,LOW_SCORE,STALE_DATA
6501.T,VIGILAR,ESPERAR,68.500000,LOW_SCORE,EXECUTABLE
6758.T,DESCARTAR,DESCARTAR,48.500000,LOW_SCORE,EXECUTABLE
6857.T,DESCARTAR,DESCARTAR,57.875000,LOW_SCORE,EXECUTABLE
7011.T,DESCARTAR,DESCARTAR,46.625000,LOW_SCORE,EXECUTABLE
7203.T,DESCARTAR,DESCARTAR,53.500000,LOW_SCORE,EXECUTABLE
8035.T,DESCARTAR,DESCARTAR,56.625000,LOW_SCORE,EXECUTABLE
9984.T,DESCARTAR,DESCARTAR,73.500000,,BROKER_UNAVAILABLE
9988.HK,DESCARTAR,DESCARTAR,39.125000,LOW_SCORE,EXECUTABLE
AAPL,VIGILAR,ESPERAR,62.250000,LOW_SCORE,EXECUTABLE
ABBV,VIGILAR,ESPERAR,64.750000,LOW_SCORE,EXECUTABLE
ADBE,DESCARTAR,DESCARTAR,42.875000,LOW_SCORE,EXECUTABLE
ADYEN.AS,DESCARTAR,DESCARTAR,42.875000,LOW_SCORE,MISSING_RECENT_DATA
AIR.PA,DESCARTAR,DESCARTAR,42.250000,LOW_SCORE,MISSING_RECENT_DATA
ALV.DE,VIGILAR,ESPERAR,62.250000,LOW_SCORE,MISSING_RECENT_DATA
AMAT,VIGILAR,ESPERAR,60.375000,LOW_SCORE,EXECUTABLE
AMD,OPERAR,COMPRAR,74.125000,,EXECUTABLE
AMZN,DESCARTAR,DESCARTAR,57.250000,LOW_SCORE,EXECUTABLE
APP,DESCARTAR,DESCARTAR,52.875000,LOW_SCORE,EXECUTABLE
ARM,VIGILAR,ESPERAR,67.875000,LOW_SCORE,EXECUTABLE
ASML.AS,DESCARTAR,DESCARTAR,54.125000,LOW_SCORE,MISSING_RECENT_DATA
AVGO,DESCARTAR,DESCARTAR,49.125000,LOW_SCORE,EXECUTABLE
AZN,DESCARTAR,DESCARTAR,53.500000,LOW_SCORE,EXECUTABLE
BBVA.MC,DESCARTAR,DESCARTAR,57.250000,LOW_SCORE,MISSING_RECENT_DATA
BRK-B,VIGILAR,ESPERAR,66.000000,LOW_SCORE,EXECUTABLE
BSP.DE,DESCARTAR,DESCARTAR,48.500000,LOW_SCORE,MISSING_RECENT_DATA
BTC-EUR,DESCARTAR,DESCARTAR,53.426471,LOW_SCORE,PARTIAL_BAR
CAT,DESCARTAR,DESCARTAR,59.750000,LOW_SCORE,EXECUTABLE
COIN,DESCARTAR,DESCARTAR,52.250000,LOW_SCORE,EXECUTABLE
CRM,DESCARTAR,DESCARTAR,50.375000,LOW_SCORE,EXECUTABLE
CRWD,VIGILAR,ESPERAR,64.125000,LOW_SCORE,EXECUTABLE
CVX,DESCARTAR,DESCARTAR,57.250000,LOW_SCORE,EXECUTABLE
DBK.DE,DESCARTAR,DESCARTAR,54.750000,LOW_SCORE,MISSING_RECENT_DATA
DFEN.DE,DESCARTAR,DESCARTAR,43.500000,LOW_SCORE,STALE_DATA
DTE.DE,DESCARTAR,DESCARTAR,54.750000,LOW_SCORE,MISSING_RECENT_DATA
ENI.MI,VIGILAR,ESPERAR,66.000000,LOW_SCORE,MISSING_RECENT_DATA
ENR.DE,DESCARTAR,DESCARTAR,45.375000,LOW_SCORE,MISSING_RECENT_DATA
EQQQ.DE,DESCARTAR,DESCARTAR,53.500000,LOW_SCORE,STALE_DATA
ETH-EUR,DESCARTAR,DESCARTAR,55.742647,LOW_SCORE,PARTIAL_BAR
EUNH.DE,DESCARTAR,DESCARTAR,46.000000,LOW_SCORE,STALE_DATA
EUNL.DE,DESCARTAR,DESCARTAR,53.500000,LOW_SCORE,STALE_DATA
EUNN.DE,VIGILAR,ESPERAR,66.000000,LOW_SCORE,STALE_DATA
EXH1.DE,VIGILAR,ESPERAR,61.000000,LOW_SCORE,STALE_DATA
EXSA.DE,DESCARTAR,DESCARTAR,54.750000,LOW_SCORE,STALE_DATA
EXV1.DE,DESCARTAR,DESCARTAR,57.250000,LOW_SCORE,STALE_DATA
GE,DESCARTAR,DESCARTAR,49.750000,LOW_SCORE,BROKER_UNAVAILABLE
GOOGL,DESCARTAR,DESCARTAR,57.250000,LOW_SCORE,EXECUTABLE
GS,DESCARTAR,DESCARTAR,54.750000,LOW_SCORE,EXECUTABLE
IBE.MC,VIGILAR,ESPERAR,62.250000,LOW_SCORE,MISSING_RECENT_DATA
ICGA.DE,DESCARTAR,DESCARTAR,41.000000,LOW_SCORE,STALE_DATA
IFX.DE,VIGILAR,ESPERAR,67.875000,LOW_SCORE,MISSING_RECENT_DATA
INFY,DESCARTAR,DESCARTAR,36.625000,LOW_SCORE,EXECUTABLE
INTC,VIGILAR,ESPERAR,67.875000,LOW_SCORE,EXECUTABLE
IQQK.DE,DESCARTAR,DESCARTAR,57.250000,LOW_SCORE,STALE_DATA
IQQT.DE,VIGILAR,ESPERAR,63.500000,LOW_SCORE,STALE_DATA
IS3N.DE,DESCARTAR,DESCARTAR,53.426471,LOW_SCORE,STALE_DATA
ITX.MC,DESCARTAR,DESCARTAR,56.000000,LOW_SCORE,MISSING_RECENT_DATA
JPM,DESCARTAR,DESCARTAR,48.500000,LOW_SCORE,BROKER_UNAVAILABLE
LLY,DESCARTAR,DESCARTAR,44.750000,LOW_SCORE,EXECUTABLE
LMT,DESCARTAR,DESCARTAR,41.000000,LOW_SCORE,EXECUTABLE
LRCX,DESCARTAR,DESCARTAR,51.625000,LOW_SCORE,BROKER_UNAVAILABLE
MA,DESCARTAR,DESCARTAR,48.500000,LOW_SCORE,EXECUTABLE
MBG.DE,DESCARTAR,DESCARTAR,49.750000,LOW_SCORE,MISSING_RECENT_DATA
MC.PA,DESCARTAR,DESCARTAR,49.750000,LOW_SCORE,MISSING_RECENT_DATA
META,VIGILAR,ESPERAR,62.875000,LOW_SCORE,EXECUTABLE
MRVL,VIGILAR,ESPERAR,65.375000,LOW_SCORE,EXECUTABLE
MSFT,DESCARTAR,DESCARTAR,57.250000,LOW_SCORE,EXECUTABLE
MU,VIGILAR,ESPERAR,62.875000,LOW_SCORE,EXECUTABLE
MUV2.DE,DESCARTAR,DESCARTAR,51.000000,LOW_SCORE,MISSING_RECENT_DATA
NFLX,DESCARTAR,DESCARTAR,43.500000,LOW_SCORE,EXECUTABLE
NOVO-B.CO,DESCARTAR,DESCARTAR,49.750000,LOW_SCORE,MISSING_RECENT_DATA
NOW,DESCARTAR,DESCARTAR,56.625000,LOW_SCORE,EXECUTABLE
NVDA,DESCARTAR,DESCARTAR,57.250000,LOW_SCORE,EXECUTABLE
OR.PA,DESCARTAR,DESCARTAR,54.750000,LOW_SCORE,MISSING_RECENT_DATA
ORCL,DESCARTAR,DESCARTAR,49.125000,LOW_SCORE,EXECUTABLE
PANW,DESCARTAR,DESCARTAR,57.875000,LOW_SCORE,EXECUTABLE
PLTR,DESCARTAR,DESCARTAR,50.375000,LOW_SCORE,EXECUTABLE
Q8Y0.DE,DESCARTAR,DESCARTAR,47.250000,LOW_SCORE,STALE_DATA
QCOM,VIGILAR,ESPERAR,62.875000,LOW_SCORE,EXECUTABLE
QDV5.DE,DESCARTAR,DESCARTAR,49.750000,LOW_SCORE,STALE_DATA
R6C0.DE,DESCARTAR,DESCARTAR,58.500000,LOW_SCORE,MISSING_RECENT_DATA
RACE.MI,VIGILAR,ESPERAR,63.500000,LOW_SCORE,MISSING_RECENT_DATA
RHM.DE,DESCARTAR,DESCARTAR,39.125000,LOW_SCORE,MISSING_RECENT_DATA
RRU.DE,DESCARTAR,DESCARTAR,48.500000,LOW_SCORE,MISSING_RECENT_DATA
RTX,DESCARTAR,DESCARTAR,42.250000,LOW_SCORE,BROKER_UNAVAILABLE
SAF.PA,DESCARTAR,DESCARTAR,46.000000,LOW_SCORE,MISSING_RECENT_DATA
SAN.MC,DESCARTAR,DESCARTAR,59.750000,LOW_SCORE,STALE_DATA
SAP.DE,DESCARTAR,DESCARTAR,56.625000,LOW_SCORE,MISSING_RECENT_DATA
SIE.DE,DESCARTAR,DESCARTAR,54.750000,LOW_SCORE,MISSING_RECENT_DATA
SOL-EUR,DESCARTAR,DESCARTAR,59.492647,LOW_SCORE,PARTIAL_BAR
SU.PA,DESCARTAR,DESCARTAR,48.500000,LOW_SCORE,MISSING_RECENT_DATA
SXR8.DE,DESCARTAR,DESCARTAR,53.500000,LOW_SCORE,STALE_DATA
TSLA,DESCARTAR,DESCARTAR,56.625000,LOW_SCORE,EXECUTABLE
TSM,VIGILAR,ESPERAR,67.250000,LOW_SCORE,EXECUTABLE
TTE.PA,VIGILAR,ESPERAR,66.000000,LOW_SCORE,MISSING_RECENT_DATA
UBER,DESCARTAR,DESCARTAR,36.625000,LOW_SCORE,EXECUTABLE
UCG.MI,DESCARTAR,DESCARTAR,51.000000,LOW_SCORE,MISSING_RECENT_DATA
V,DESCARTAR,DESCARTAR,52.250000,LOW_SCORE,EXECUTABLE
VRTX,DESCARTAR,DESCARTAR,48.500000,LOW_SCORE,EXECUTABLE
VVSM.DE,DESCARTAR,DESCARTAR,56.000000,LOW_SCORE,STALE_DATA
XOM,DESCARTAR,DESCARTAR,56.000000,LOW_SCORE,EXECUTABLE
ZPRR.DE,DESCARTAR,DESCARTAR,48.500000,LOW_SCORE,STALE_DATA
