symbol,radar,accion,score,discard_code,execution_code,entry_max,entry_max_tecnica,entry_max_rr,manda
000660.KS,VIGILAR,ESPERAR,67.875000,LOW_SCORE,BROKER_UNAVAILABLE,1857000.000000,1923535.714286,1857000.000000,rr
005930.KS,DESCARTAR,DESCARTAR,52.875000,LOW_SCORE,EXECUTABLE,261000.000000,268125.000000,261000.000000,rr
0700.HK,DESCARTAR,DESCARTAR,49.750000,LOW_SCORE,EXECUTABLE,424.474995,426.339282,424.474995,rr
1211.HK,DESCARTAR,DESCARTAR,37.250000,LOW_SCORE,BROKER_UNVERIFIED,81.500000,83.321429,81.500000,rr
1810.HK,DESCARTAR,DESCARTAR,36.625000,LOW_SCORE,EXECUTABLE,26.400000,27.143571,26.400000,rr
4GLD.DE,DESCARTAR,DESCARTAR,48.500000,LOW_SCORE,STALE_DATA,121.209999,122.936071,121.209999,rr
6501.T,VIGILAR,ESPERAR,68.500000,LOW_SCORE,EXECUTABLE,5524.000000,5629.589286,5524.000000,rr
6758.T,DESCARTAR,DESCARTAR,48.500000,LOW_SCORE,EXECUTABLE,3697.000000,3767.446429,3697.000000,rr
6857.T,DESCARTAR,DESCARTAR,57.875000,LOW_SCORE,EXECUTABLE,32050.000000,33244.375000,32050.000000,rr
7011.T,DESCARTAR,DESCARTAR,46.625000,LOW_SCORE,EXECUTABLE,3879.000000,3975.267857,3879.000000,rr
7203.T,DESCARTAR,DESCARTAR,53.500000,LOW_SCORE,EXECUTABLE,3025.000000,3075.491071,3025.000000,rr
8035.T,DESCARTAR,DESCARTAR,56.625000,LOW_SCORE,EXECUTABLE,53110.000000,54844.642857,53110.000000,rr
9984.T,DESCARTAR,DESCARTAR,73.500000,,BROKER_UNAVAILABLE,6315.000000,6644.035714,6315.000000,rr
9988.HK,DESCARTAR,DESCARTAR,39.125000,LOW_SCORE,EXECUTABLE,109.300003,111.780360,109.300003,rr
AAPL,VIGILAR,ESPERAR,62.250000,LOW_SCORE,EXECUTABLE,337.000000,342.873572,337.000000,rr
ABBV,VIGILAR,ESPERAR,64.750000,LOW_SCORE,EXECUTABLE,264.019989,268.183018,264.019989,rr
ADBE,DESCARTAR,DESCARTAR,42.875000,LOW_SCORE,EXECUTABLE,252.669998,260.411071,252.669998,rr
ADYEN.AS,DESCARTAR,DESCARTAR,42.875000,LOW_SCORE,MISSING_RECENT_DATA,914.700012,939.401797,914.700012,rr
AIR.PA,DESCARTAR,DESCARTAR,42.250000,LOW_SCORE,MISSING_RECENT_DATA,196.617501,199.546785,196.617501,rr
ALV.DE,VIGILAR,ESPERAR,62.250000,LOW_SCORE,MISSING_RECENT_DATA,449.200012,453.930367,449.200012,rr
AMAT,VIGILAR,ESPERAR,60.375000,LOW_SCORE,EXECUTABLE,430.411421,430.411421,432.082001,tecnica
AMD,OPERAR,COMPRAR,74.125000,,EXECUTABLE,545.090027,561.572342,545.090027,rr
