symbol,radar_antes,accion_antes,radar_despues,accion_despues,igual
000660.KS,VIGILAR,ESPERAR,VIGILAR,ESPERAR,True
005930.KS,DESCARTAR,DESCARTAR,DESCARTAR,DESCARTAR,True
0700.HK,DESCARTAR,DESCARTAR,DESCARTAR,DESCARTAR,True
1211.HK,DESCARTAR,DESCARTAR,DESCARTAR,DESCARTAR,True
1810.HK,DESCARTAR,DESCARTAR,DESCARTAR,DESCARTAR,True
4GLD.DE,DESCARTAR,DESCARTAR,DESCARTAR,DESCARTAR,True
6501.T,VIGILAR,ESPERAR,VIGILAR,ESPERAR,True
6758.T,DESCARTAR,DESCARTAR,DESCARTAR,DESCARTAR,True
6857.T,DESCARTAR,DESCARTAR,DESCARTAR,DESCARTAR,True
7011.T,DESCARTAR,DESCARTAR,DESCARTAR,DESCARTAR,True
7203.T,DESCARTAR,DESCARTAR,DESCARTAR,DESCARTAR,True
8035.T,DESCARTAR,DESCARTAR,DESCARTAR,DESCARTAR,True
9984.T,DESCARTAR,DESCARTAR,DESCARTAR,DESCARTAR,True
9988.HK,DESCARTAR,DESCARTAR,DESCARTAR,DESCARTAR,True
AAPL,VIGILAR,ESPERAR,VIGILAR,ESPERAR,True
ABBV,VIGILAR,ESPERAR,VIGILAR,ESPERAR,True
ADBE,DESCARTAR,DESCARTAR,DESCARTAR,DESCARTAR,True
ADYEN.AS,DESCARTAR,DESCARTAR,DESCARTAR,DESCARTAR,True
AIR.PA,DESCARTAR,DESCARTAR,DESCARTAR,DESCARTAR,True
ALV.DE,VIGILAR,ESPERAR,VIGILAR,ESPERAR,True
AMAT,VIGILAR,ESPERAR,VIGILAR,ESPERAR,True
AMD,OPERAR,COMPRAR,OPERAR,COMPRAR,True
AMZN,DESCARTAR,DESCARTAR,DESCARTAR,DESCARTAR,True
APP,DESCARTAR,DESCARTAR,DESCARTAR,DESCARTAR,True
ARM,VIGILAR,ESPERAR,VIGILAR,ESPERAR,True
ASML.AS,DESCARTAR,DESCARTAR,DESCARTAR,DESCARTAR,True
AVGO,DESCARTAR,DESCARTAR,DESCARTAR,DESCARTAR,True
AZN,DESCARTAR,DESCARTAR,DESCARTAR,DESCARTAR,True
BBVA.MC,DESCARTAR,DESCARTAR,DESCARTAR,DESCARTAR,True
BRK-B,VIGILAR,ESPERAR,VIGILAR,ESPERAR,True
BSP.DE,DESCARTAR,DESCARTAR,DESCARTAR,DESCARTAR,True
BTC-EUR,DESCARTAR,DESCARTAR,DESCARTAR,DESCARTAR,True
CAT,DESCARTAR,DESCARTAR,DESCARTAR,DESCARTAR,True
COIN,DESCARTAR,DESCARTAR,DESCARTAR,DESCARTAR,True
CRM,DESCARTAR,DESCARTAR,DESCARTAR,DESCARTAR,True
CRWD,VIGILAR,ESPERAR,VIGILAR,ESPERAR,True
CVX,DESCARTAR,DESCARTAR,DESCARTAR,DESCARTAR,True
DBK.DE,DESCARTAR,DESCARTAR,DESCARTAR,DESCARTAR,True
DFEN.DE,DESCARTAR,DESCARTAR,DESCARTAR,DESCARTAR,True
DTE.DE,DESCARTAR,DESCARTAR,DESCARTAR,DESCARTAR,True
ENI.MI,VIGILAR,ESPERAR,VIGILAR,ESPERAR,True
ENR.DE,DESCARTAR,DESCARTAR,DESCARTAR,DESCARTAR,True
EQQQ.DE,DESCARTAR,DESCARTAR,DESCARTAR,DESCARTAR,True
ETH-EUR,DESCARTAR,DESCARTAR,DESCARTAR,DESCARTAR,True
EUNH.DE,DESCARTAR,DESCARTAR,DESCARTAR,DESCARTAR,True
EUNL.DE,DESCARTAR,DESCARTAR,DESCARTAR,DESCARTAR,True
EUNN.DE,VIGILAR,ESPERAR,VIGILAR,ESPERAR,True
EXH1.DE,VIGILAR,ESPERAR,VIGILAR,ESPERAR,True
EXSA.DE,DESCARTAR,DESCARTAR,DESCARTAR,DESCARTAR,True
EXV1.DE,DESCARTAR,DESCARTAR,DESCARTAR,DESCARTAR,True
GE,DESCARTAR,DESCARTAR,DESCARTAR,DESCARTAR,True
GOOGL,DESCARTAR,DESCARTAR,DESCARTAR,DESCARTAR,True
GS,DESCARTAR,DESCARTAR,DESCARTAR,DESCARTAR,True
IBE.MC,VIGILAR,ESPERAR,VIGILAR,ESPERAR,True
ICGA.DE,DESCARTAR,DESCARTAR,DESCARTAR,DESCARTAR,True
IFX.DE,VIGILAR,ESPERAR,VIGILAR,ESPERAR,True
INFY,DESCARTAR,DESCARTAR,DESCARTAR,DESCARTAR,True
INTC,VIGILAR,ESPERAR,VIGILAR,ESPERAR,True
IQQK.DE,DESCARTAR,DESCARTAR,DESCARTAR,DESCARTAR,True
IQQT.DE,VIGILAR,ESPERAR,VIGILAR,ESPERAR,True
IS3N.DE,DESCARTAR,DESCARTAR,DESCARTAR,DESCARTAR,True
ITX.MC,DESCARTAR,DESCARTAR,DESCARTAR,DESCARTAR,True
JPM,DESCARTAR,DESCARTAR,DESCARTAR,DESCARTAR,True
LLY,DESCARTAR,DESCARTAR,DESCARTAR,DESCARTAR,True
LMT,DESCARTAR,DESCARTAR,DESCARTAR,DESCARTAR,True
LRCX,DESCARTAR,DESCARTAR,DESCARTAR,DESCARTAR,True
MA,DESCARTAR,DESCARTAR,DESCARTAR,DESCARTAR,True
MBG.DE,DESCARTAR,DESCARTAR,DESCARTAR,DESCARTAR,True
MC.PA,DESCARTAR,DESCARTAR,DESCARTAR,DESCARTAR,True
META,VIGILAR,ESPERAR,VIGILAR,ESPERAR,True
MRVL,VIGILAR,ESPERAR,VIGILAR,ESPERAR,True
MSFT,DESCARTAR,DESCARTAR,DESCARTAR,DESCARTAR,True
MU,VIGILAR,ESPERAR,VIGILAR,ESPERAR,True
MUV2.DE,DESCARTAR,DESCARTAR,DESCARTAR,DESCARTAR,True
NFLX,DESCARTAR,DESCARTAR,DESCARTAR,DESCARTAR,True
NOVO-B.CO,DESCARTAR,DESCARTAR,DESCARTAR,DESCARTAR,True
NOW,DESCARTAR,DESCARTAR,DESCARTAR,DESCARTAR,True
NVDA,DESCARTAR,DESCARTAR,DESCARTAR,DESCARTAR,True
OR.PA,DESCARTAR,DESCARTAR,DESCARTAR,DESCARTAR,True
ORCL,DESCARTAR,DESCARTAR,DESCARTAR,DESCARTAR,True
PANW,DESCARTAR,DESCARTAR,DESCARTAR,DESCARTAR,True
PLTR,DESCARTAR,DESCARTAR,DESCARTAR,DESCARTAR,True
